CODIGO_UNICO,NOMBRE_INVERSION,FUNCION,PROGRAMA,SUBPROGRAMA,DES_TIPOLOGIA,PROVINCIA,DISTRITO,CLASIFICACION_PROPUESTA,MOTIVO
2457225,"RENOVACION DE CANAL CERRADO PARA DISPOSICIÓN FINAL DE AGUAS RESIDUALES EN EL(LA) REHABILITACIÓN Y MEJORAMIENTO DEL CANAL DE EVACUACION DE AGUAS PLUVIALES DEL JR. AZANGARO (CUADRA 1) EN LA LOCALIDAD ASILLO, DISTRITO DE ASILLO, PROVINCIA AZANGARO, DEPARTAMENTO PUNO",VIVIENDA Y DESARROLLO URBANO,DESARROLLO URBANO Y RURAL,PLANEAMIENTO Y DESARROLLO URBANO Y RURAL,ESPACIOS PÚBLICOS PARA EL ESPARCIMIENTO Y RECREACIÓN,AZANGARO,ASILLO,REVISAR,"Contiene palabras clave pero función oficial es diferente, requiere validación manual"
2639519,"RENOVACION DE ALCANTARILLADO PLUVIAL EN EL(LA) JR. PROLONGACION ESQUELTIRA DISTRITO DE USICAYOS, PROVINCIA CARABAYA, DEPARTAMENTO PUNO",TRANSPORTE,TRANSPORTE TERRESTRE,VÍAS VECINALES,CARRETERAS VECINALES,CARABAYA,USICAYOS,REVISAR,Otros casos a revisar
2090887,DRENAJE PLUVIAL DE LA CIUDAD DE JULIACA,SALUD Y SANEAMIENTO,SANEAMIENTO,SANEAMIENTO GENERAL,,SAN ROMAN,JULIACA,INCLUIR_HISTORICO,Clasificación antigua de agua y saneamiento
2731334,"ADQUISICION DE UNIDAD MOVIL EN EL(LA) EMPRESA MUNICIPAL DE SANEAMIENTO BASICO DE PUNO S.A. TIPO CAMION BARANDA EN EL  DISTRITO DE PUNO, PROVINCIA PUNO, DEPARTAMENTO PUNO","PLANEAMIENTO, GESTIÓN Y RESERVA DE CONTINGENCIA",GESTIÓN,INFRAESTRUCTURA Y EQUIPAMIENTO,DESARROLLO INSTITUCIONAL,PUNO,PUNO,REVISAR,"Contiene palabras clave pero función oficial es diferente, requiere validación manual"
2699921,"ADQUISICION DE TERRENO SANEAMIENTO TECNICO LEGAL DE TERRENO EN EL(LA) CENTRO DE PRODUCCIÓN DE REPRODUCTORES PARA VACUNOS, OVINOS Y ANIMALES MENORES  DISTRITO DE SANTA ROSA, PROVINCIA MELGAR, DEPARTAMENTO PUNO","PLANEAMIENTO, GESTIÓN Y RESERVA DE CONTINGENCIA",CIENCIA Y TECNOLOGÍA,TRANSFERENCIA DE CONOCIMIENTOS Y TECNOLOGÍAS,APOYO AL DESARROLLO PRODUCTIVO AGROPECUARIO,MELGAR,SANTA ROSA,REVISAR,"Contiene palabras clave pero función oficial es diferente, requiere validación manual"
2476085,CREACION DE DEFENSA RIBEREÑA EN EL RIO AJOYANI PARA LA PROTECCIÓN DE LA PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES (PTAR) DE LA LOCALIDAD DE AJOYANI DEL DISTRITO DE AJOYANI - PROVINCIA DE CARABAYA - DEPARTAMENTO DE PUNO,ORDEN PÚBLICO Y SEGURIDAD,GESTIÓN DE RIESGOS Y EMERGENCIAS,PREVENCIÓN DE DESASTRES,DEFENSAS RIBEREÑAS,CARABAYA,AJOYANI,REVISAR,"Contiene palabras clave pero función oficial es diferente, requiere validación manual"
2069742,"REHABILITACION Y MEJORAMIENTO DEL SISTEMA DE AGUA EN LOS CENTROS POBLADOS  JAPISSE  Y SUCUNI, DISTRITO DE CONIMA - MOHO - PUNO",SALUD Y SANEAMIENTO,SANEAMIENTO,SANEAMIENTO GENERAL,,MOHO,CONIMA,INCLUIR_HISTORICO,Clasificación antigua de agua y saneamiento
2337107,"AMPLIACION, MEJORAMIENTO DE LOS SERVICIOS DE RECOLECCIÓN Y TRATAMIENTO DE AGUAS RESIDUALES DE LAS CIUDADES DE AYAVIRI, MOHO, JULIACA, PUNO, ILAVE Y JULI, DEPARTAMENTO DE PUNO",VIVIENDA Y DESARROLLO URBANO,VIVIENDA,CONSTRUCCIÓN,,PUNO,PUNO,REVISAR,"Contiene palabras clave pero función oficial es diferente, requiere validación manual"
2710543,"CONSTRUCCION DE ALCANTARILLADO PLUVIAL EN EL(LA) CAMINO VECINAL RUTA EMP. PU 139 - PARCIALIDAD SAPAPUJIO (RIO CANGALLI)  DISTRITO DE POTONI, PROVINCIA AZANGARO, DEPARTAMENTO PUNO",TRANSPORTE,TRANSPORTE TERRESTRE,VÍAS VECINALES,CARRETERAS VECINALES,AZANGARO,POTONI,REVISAR,Otros casos a revisar
2578180,CREACION DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN EL LOCAL DE USOS MÚLTIPLES DE LA JUNTA ADMINISTRADORA DE SERVICIOS DE SANEAMIENTO (JASS) EN EL   DISTRITO DE PISACOMA DE LA PROVINCIA DE CHUCUITO DEL DEPARTAMENTO DE PUNO,"PLANEAMIENTO, GESTIÓN Y RESERVA DE CONTINGENCIA",GESTIÓN,INFRAESTRUCTURA Y EQUIPAMIENTO,DESARROLLO INSTITUCIONAL,CHUCUITO,PISACOMA,REVISAR,"Contiene palabras clave pero función oficial es diferente, requiere validación manual"
2019248,AMPLIACIÓN Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO EN LA LOCALIDAD DE YUNGUYO,SALUD Y SANEAMIENTO,SANEAMIENTO,SANEAMIENTO GENERAL,,YUNGUYO,YUNGUYO,INCLUIR_HISTORICO,Clasificación antigua de agua y saneamiento
2730779,"CONSTRUCCION DE ALCANTARILLADO PLUVIAL EN EL(LA) CAMINO VECINAL TRAMO: EMP PU -111 (VILUYO) - CHURUNI - TOTURTIRA, (ALCANTARILLA VIAL) EN EL SECTOR JAPUPUNCU CHURUNI DE LA COMUNIDAD DE HUASACONA DEL  DISTRITO DE MUÑANI, PROVINCIA AZANGARO, DEPARTAMENTO PUNO",TRANSPORTE,TRANSPORTE TERRESTRE,VÍAS VECINALES,CARRETERAS VECINALES,AZANGARO,MUÑANI,REVISAR,Otros casos a revisar
2595127,"REPARACION DE AMBIENTE DE BIENESTAR Y APOYO UNIVERSITARIO CONSTRUCCION DE SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE ADQUISICION DE SISTEMA DE GENERACION DE ENERGIA ELECTRICA EN EL(LA) COMUNIDAD CAMPESINA DE ANCASAYA DEL  DISTRITO DE ILAVE, PROVINCIA EL COLLAO, DEPARTAMENTO PUNO","PLANEAMIENTO, GESTIÓN Y RESERVA DE CONTINGENCIA",GESTIÓN,INFRAESTRUCTURA Y EQUIPAMIENTO,DESARROLLO INSTITUCIONAL,EL COLLAO,ILAVE,REVISAR,"Contiene palabras clave pero función oficial es diferente, requiere validación manual"
2683740,"ADQUISICION DE TERRENO SANEAMIENTO TECNICO LEGAL DE TERRENO EN EL(LA) SAN ANTON  DISTRITO DE SAN ANTON, PROVINCIA AZANGARO, DEPARTAMENTO PUNO",SALUD,SALUD INDIVIDUAL,ATENCIÓN MÉDICA BÁSICA,ESTABLECIMIENTOS DE SALUD DEL PRIMER NIVEL DE ATENCIÓN,AZANGARO,SAN ANTON,REVISAR,"Contiene palabras clave pero función oficial es diferente, requiere validación manual"
2579066,"RENOVACION DE SUMINISTRO DE ENERGIA ELECTRICA, SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE, AREA VERDE Y VEREDA EN EL(LA) PLAZA DOS DE MAYO DEL  DISTRITO DE DESAGUADERO, PROVINCIA CHUCUITO, DEPARTAMENTO PUNO",VIVIENDA Y DESARROLLO URBANO,DESARROLLO URBANO Y RURAL,PLANEAMIENTO Y DESARROLLO URBANO Y RURAL,ESPACIOS PÚBLICOS PARA EL ESPARCIMIENTO Y RECREACIÓN,CHUCUITO,DESAGUADERO,REVISAR,"Contiene palabras clave pero función oficial es diferente, requiere validación manual"
2737295,"CONSTRUCCION DE PONTON EN EL(LA) Y SISTEMA DE ALCANTARILLADO EN SECTORES DE ASPROSAL, CCARMI Y TULANI DE LA CUENCA ANTAUTA DISTRITO DE ANTAUTA, PROVINCIA MELGAR, DEPARTAMENTO PUNO",TRANSPORTE,TRANSPORTE TERRESTRE,VÍAS VECINALES,CARRETERAS VECINALES,MELGAR,ANTAUTA,REVISAR,Otros casos a revisar
2486511,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SISTEMA DE AGUA POTABLE Y SANEAMIENTO EN EL CAMPUS DE LA CIUDAD UNIVERSITARIA DE LA UNIVERSIDAD NACIONAL DEL ALTIPLANO  DISTRITO DE PUNO - PROVINCIA DE PUNO - DEPARTAMENTO DE PUNO,EDUCACIÓN,EDUCACIÓN SUPERIOR,EDUCACIÓN SUPERIOR UNIVERSITARIA,GESTIÓN INSTITUCIONAL EN EDUCACIÓN SUPERIOR UNIVERSITARIA,PUNO,PUNO,REVISAR,"Contiene palabras clave pero función oficial es diferente, requiere validación manual"
