CODIGO_UNICO,NOMBRE_INVERSION,LOCALIDAD_EXTRAIDA,CONSULTA_NOMINATIM,DISPLAY_NAME_NOMINATIM,LATITUD,LONGITUD,PROVINCIA_ESPERADA,DISTRITO_ESPERADO,COINCIDE_DISTRITO,COINCIDE_PROVINCIA,ESTADO_VALIDACION,MOTIVO_REVISION
2183859,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS DE LA COMUNIDAD CAMPESINA DE CCAPALLA, CENTRO POBLADO CCAPALLA, DISTRITO DE ACORA, PUNO - PUNO",CCAPALLA,"CCAPALLA, ACORA, PUNO, Puno, Peru","Institución Educativa Ccapalla, Carretera Longitudinal de la Sierra Sur, Capalla, Ácora, Puno, Perú",-16.0494,-69.708,PUNO,ACORA,NO,SI,REVISAR,Distrito no coincide
2153139,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO EN LAS LOCALIDADES DE VILLA HERMOSA Y NUEVA ESPINAR, DISTRITO DE CRUCERO - CARABAYA - PUNO",VILLA HERMOSA,"VILLA HERMOSA, CRUCERO, CARABAYA, Puno, Peru","Villa Hermosa, Crucero, Carabaya, Puno, Perú",-14.3226271,-69.8949818,CARABAYA,CRUCERO,SI,SI,OK,
2225246,"MEJORAMIENTO DEL SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE, ALCANTARILLADO Y PTAR EN LA LOCALIDAD DE LLALLI, DISTRITO DE LLALLI - MELGAR - PUNO",LLALLI,"LLALLI, LLALLI, MELGAR, Puno, Peru","Llalli, 106, PE-3SG, Parco, Llalli, Melgar, Puno, Perú",-14.9510883,-70.8811794,MELGAR,LLALLI,SI,SI,OK,
2183866,"MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS  DE LA COMUNIDAD CAMPESINA DE COLLINI, CENTRO  POBLADO INCASAMAWI, DISTRITO DE ACORA, PUNO - PUNO",COLLINI,"COLLINI, ACORA, PUNO, Puno, Peru","Collini, Ácora, Puno, Perú",-16.0780346,-69.7037581,PUNO,ACORA,NO,SI,REVISAR,Distrito no coincide
2187533,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS DE LA COMUNIDAD CAMPESINA DE KAKACHI, DISTRITO DE HUANCANE, HUANCANE, PUNO",KAKACHI,"KAKACHI, HUANCANE, HUANCANE, Puno, Peru","Kakachi, Huancané, Puno, Perú",-15.247435,-69.7916542,HUANCANE,HUANCANE,NO,NO,REVISAR,Distrito no coincide | Provincia no coincide
2189342,"MEJORAMIENTO Y AMPLIACION DE LOS  SERVICIOS DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS DE LA COMUNIDAD CAMPESINA DE MACHARIRI CENTRAL, DISTRITO DE ASILLO, AZANGARO - PUNO.",MACHARIRI CENTRAL,"MACHARIRI CENTRAL, ASILLO, AZANGARO, Puno, Peru","Tambo Machariri Central, Carretera Interoceánica Puno - Madre de Dios, Chatraya, Jila, Asillo, Azángaro, Puno, Perú",-14.67899,-70.335496,AZANGARO,ASILLO,SI,NO,REVISAR,Provincia no coincide
2239679,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL CENTRO POBLADO DE TRAPICHE, DISTRITO DE ANANEA - SAN ANTONIO DE PUTINA - PUNO",TRAPICHE,"TRAPICHE, ANANEA, SAN ANTONIO DE PUTINA, Puno, Peru","Trapiche, Ananea, San Antonio de Putina, Puno, Perú",-14.7581955,-69.4134687,SAN ANTONIO DE PUTINA,ANANEA,SI,SI,OK,
2309673,"CREACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BÁSICO EN EL CENTRO POBLADO DE CURVA ALEGRE, DISTRITO DE SAN PEDRO DE PUTINA PUNCU - SANDIA - PUNO",CURVA ALEGRE,"CURVA ALEGRE, SAN PEDRO DE PUTINA PUNCO, SANDIA, Puno, Peru","Curva Alegre, San Pedro de Putina Punco, Sandia, Puno, Perú",-14.0409032,-68.9588955,SANDIA,SAN PEDRO DE PUTINA PUNCO,SI,SI,OK,
2270279,"AMPLIACION Y MEJORAMIENTO DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO EN LA LOCALIDAD DE JULI, PROVINCIA DE CHUCUITO - PUNO",JULI,"JULI, JULI, CHUCUITO, Puno, Peru","Juli, Chucuito, Puno, 21530, Perú",-16.2132873,-69.4591568,CHUCUITO,JULI,SI,SI,REVISAR,Nombre muy genérico
2307914,"AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN EL CENTRO POBLADO DE PHUSCA , DISTRITO DE USICAYOS - CARABAYA - PUNO",PHUSCA,"PHUSCA, USICAYOS, CARABAYA, Puno, Peru","Institución educativa inicial Phusca, PU-552, Mio, Ccetapalo, Usicayos, Carabaya, Puno, Perú",-14.1077,-69.8749,CARABAYA,USICAYOS,SI,SI,OK,
2182866,"MEJORAMIENTO Y AMPLIAICON DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE POMATA, DISTRITO DE POMATA - CHUCUITO - PUNO",POMATA,"POMATA, POMATA, CHUCUITO, Puno, Peru","Pomata, Chucuito, Puno, Perú",-16.2731488,-69.2921984,CHUCUITO,POMATA,SI,SI,OK,
2328144,"CREACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO EN LOS SECTORES CENTRAL, ISLA CANCHI, INCASAYA Y CHALLHUANI DE LA COMUNIDAD CANCHI CHICO, DISTRITO DE CARACOTO - SAN ROMAN - PUNO",CANCHI CHICO,"CANCHI CHICO, CARACOTO, SAN ROMAN, Puno, Peru","Canchi Chico Central, Caracoto, San Román, Puno, Perú",-15.5090311,-70.0695648,SAN ROMAN,CARACOTO,SI,NO,REVISAR,Provincia no coincide
2174797,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y SERVICIO HIGIENICO CON ARRASTRE HIDRAULICO EN LA COMUNIDAD DE HUANCASAYA, DISTRITO DE COJATA - HUANCANE - PUNO",HUANCASAYA,"HUANCASAYA, COJATA, HUANCANE, Puno, Peru","Huancasaya, Cojata, Huancané, Puno, Perú",-15.143454,-69.2158364,HUANCANE,COJATA,SI,NO,REVISAR,Provincia no coincide
2411246,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LA COMUNIDAD DE ANANSAYA, DISTRITO DE CRUCERO - CARABAYA - PUNO",ANANSAYA,"ANANSAYA, CRUCERO, CARABAYA, Puno, Peru","Anansaya, Crucero, Carabaya, Puno, Perú",-14.3165504,-70.1721398,CARABAYA,CRUCERO,SI,SI,OK,
2226027,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y DESAGÜE EN LA LOCALIDAD DE TAMBILLO, DISTRITO DE ITUATA - CARABAYA - PUNO",TAMBILLO,"TAMBILLO, ITUATA, CARABAYA, Puno, Peru","Tambillo, Ituata, Carabaya, Puno, Perú",-13.8762874,-70.2141705,CARABAYA,ITUATA,SI,SI,OK,
2301308,"MEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO EN LOS OCHO SECTORES DEL CENTRO POBLADO DE UMUCHI, DISTRITO DE MOHO, PROVINCIA DE MOHO - PUNO",UMUCHI,"UMUCHI, MOHO, MOHO, Puno, Peru","Umuchi, Moho, Puno, Perú",-15.3407315,-69.5754772,MOHO,MOHO,SI,SI,OK,
2315216,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LA COMUNIDAD CAMPESINA DE SANTA ROSA, DISTRITO DE SANTA ROSA - MELGAR - PUNO",SANTA ROSA,"SANTA ROSA, SANTA ROSA, MELGAR, Puno, Peru","Santa Rosa, Melgar, Puno, Perú",-14.6090248,-70.7871904,MELGAR,SANTA ROSA,SI,SI,OK,
2236180,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO INTEGRAL EN LOS SECTORES DEL CENTRO POBLADO DE JACANTAYA, DISTRITO DE MOHO, PROVINCIA DE MOHO - PUNO",JACANTAYA,"JACANTAYA, MOHO, MOHO, Puno, Peru","Jacantaya, Moho, Puno, Perú",-15.3117412,-69.6312743,MOHO,MOHO,SI,SI,OK,
2189503,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS DE LA COMUNIDAD CAMPESINA DE CUSINI, DISTRITO DE ACORA, PROVINCIA DE PUNO, REGIÓN PUNO",CUSINI,"CUSINI, ACORA, PUNO, Puno, Peru","Cusini, Ácora, Puno, Perú",-16.1777105,-69.7349211,PUNO,ACORA,NO,SI,REVISAR,Distrito no coincide
2113918,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y LETRINAS SANITARIAS EN EL CENTRO POBLADO DE CANGALLI DEL DISTRITO DE ILAVE, PROVINCIA DE EL COLLAO - PUNO",CANGALLI,"CANGALLI, ILAVE, EL COLLAO, Puno, Peru","Cangalli, Ilave, El Collao, Puno, Perú",-16.3510022,-69.7387245,EL COLLAO,ILAVE,SI,SI,OK,
2189465,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS DEL CENTRO POBLADO THUNCO, DISTRITO DE ACORA, PUNO - PUNO",THUNCO,"THUNCO, ACORA, PUNO, Puno, Peru","Thunco, Carretera Longitudinal de la Sierra Sur, Capalla, Ácora, Puno, Perú",-16.005933,-69.6965444,PUNO,ACORA,NO,SI,REVISAR,Distrito no coincide
2189508,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LOS SECTORES DE MANUELO Y MAMANI EN LA COMUNIDAD CAMPESINA DE KAPIA PUSUMA, DISTRITO DE KELLUYO - CHUCUITO - PUNO",KAPIA PUSUMA,"KAPIA PUSUMA, KELLUYO, CHUCUITO, Puno, Peru","Tambo Kapia Pusuma, Plaza de Tulacollo, Tulacollo, Kelluyo, Chucuito, Puno, Perú",-16.837151,-69.224645,CHUCUITO,KELLUYO,SI,SI,OK,
2204402,"AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA Y ALCANTARILLADO DE LA LOCALIDAD DE  CHUCUITO, DISTRITO DE CHUCUITO - PUNO - PUNO",CHUCUITO,"CHUCUITO, CHUCUITO, PUNO, Puno, Peru","Chucuito, Puno, Perú",-15.8944723,-69.8898395,PUNO,CHUCUITO,SI,SI,OK,
2176420,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE ATUNCOLLA, DISTRITO DE ATUNCOLLA - PUNO - PUNO",ATUNCOLLA,"ATUNCOLLA, ATUNCOLLA, PUNO, Puno, Peru","Atuncolla, Puno, Perú",-15.6884255,-70.1432128,PUNO,ATUNCOLLA,SI,SI,OK,
2155537,"INSTALACION Y MEJORAMIENTO DEL SERVICIO DE SANEAMIENTO BASICO INTEGRAL EN LOS ANEXOS SAN MIGUEL, CANCHARANI Y PURO PURO INCAMAYO DEL SECTOR YAPUSCACHI, DISTRITO DE CABANA - SAN ROMAN - PUNO",YAPUSCACHI,"YAPUSCACHI, CABANA, SAN ROMAN, Puno, Peru","IEP Yapuscachi, Héroes de La Guerra del Pacífico, Cabana, San Román, Puno, Perú",-15.6163605,-70.3155288,SAN ROMAN,CABANA,SI,NO,REVISAR,Provincia no coincide
2245270,"INSTALACION DE LOS SERVICIOS DEL SISTEMA DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS EN LAS COMUNIDADES DE VIZCACHANI Y PATABAMBA, DISTRITO DE ORURILLO - MELGAR - PUNO",VIZCACHANI,"VIZCACHANI, ORURILLO, MELGAR, Puno, Peru","Vizcachani, Quishuarani, Orurillo, Melgar, Puno, Perú",-14.6548129,-70.5123758,MELGAR,ORURILLO,SI,SI,OK,
2196970,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN EL ÁREA URBANO DEL CENTRO POBLADO DE SANTIAGO, DEL DISTRITO DE JULI, PROVINCIA DE CHUCUITO - PUNO",SANTIAGO,"SANTIAGO, JULI, CHUCUITO, Puno, Peru","Santiago Mucho Chambilla, Carretera Longitudinal de la Sierra Sur, Mulla Contihueco Hirpani, Pilcuyo, El Collao, Puno, Perú",-16.1613465,-69.5392493,CHUCUITO,JULI,NO,NO,REVISAR,Distrito no coincide | Provincia no coincide
2168883,"CONSTRUCCIÓN DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BÁSICO DE LA LOCALIDAD DE COLQUE, DISTRITO DE PUCARA, PROVINCIA DE LAMPA, DEPARTAMENTO DE PUNO",COLQUE,"COLQUE, PUCARA, LAMPA, Puno, Peru","Colque, Pucará, Lampa, Puno, Perú",-15.1492428,-70.4419499,LAMPA,PUCARA,NO,SI,REVISAR,Distrito no coincide
2209686,"INSTALACION DEL SISTEMA DE SANEAMIENTO BASICO DE AGUA POTABLE Y LETRINAS EN LA COMUNIDAD DE ANGARA ALTO DEL DISTRITO DE PUCARA DE LA, PROVINCIA DE LAMPA - PUNO",ANGARA ALTO,"ANGARA ALTO, PUCARA, LAMPA, Puno, Peru","Angara Alto, Carretera Longitudinal de la Sierra Sur, Tuni Grande, Pucará, Lampa, Puno, Perú",-14.9746516,-70.479191,LAMPA,PUCARA,NO,SI,REVISAR,Distrito no coincide
2299942,"CREACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LOS SECTORES QUIÑONES Y MAMANI DEL CENTRO POBLADO SICUYANI, DISTRITO DE ZEPITA, PROVINCIA DE CHUCUITO, DEPARTAMENTO DE PUNO",SICUYANI,"SICUYANI, ZEPITA, CHUCUITO, Puno, Peru","Sicuyani, Zepita, Chucuito, Puno, Perú",-16.5957032,-69.2041506,CHUCUITO,ZEPITA,SI,SI,OK,
2186037,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS DEL CENTRO POBLADO ISCATA, DISTRITO DE ACORA, PUNO - PUNO",ISCATA,"ISCATA, ACORA, PUNO, Puno, Peru","Iscata, Ácora, Puno, Perú",-15.9624969,-69.6290894,PUNO,ACORA,NO,SI,REVISAR,Distrito no coincide
2353170,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LA COMUNIDAD CAMPESINA DE SILLOTA - DISTRITO DE ASILLO - PROVINCIA DE AZANGARO - DEPARTAMENTO DE PUNO,SILLOTA,"SILLOTA, ASILLO, AZANGARO, Puno, Peru","Sillota, Asillo, Azángaro, Puno, Perú",-14.6740665,-70.3141326,AZANGARO,ASILLO,SI,NO,REVISAR,Provincia no coincide
2288488,"CREACION DEL CANAL DE EVACUACIÓN DE AGUAS PLUVIALES EN  LA COMUNIDAD DE POTOJANI GRANDE, DISTRITO DE CHUCUITO - PUNO - PUNO",POTOJANI GRANDE,"POTOJANI GRANDE, CHUCUITO, PUNO, Puno, Peru","Institución Educativa Potojani Grande, Carretera Longitudinal de la Sierra Sur, Chucuito, Puno, Perú",-15.9296,-69.8789,PUNO,CHUCUITO,SI,SI,OK,
2309853,"CREACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BÁSICO EN EL SECTOR MIRAFLORES LANZA, DISTRITO DE SAN PEDRO DE PUTINA PUNCU - SANDIA - PUNO",MIRAFLORES LANZA,"MIRAFLORES LANZA, SAN PEDRO DE PUTINA PUNCO, SANDIA, Puno, Peru","Miraflores Lanza, San Pedro de Putina Punco, Sandia, Puno, Perú",-14.0929764,-68.8888961,SANDIA,SAN PEDRO DE PUTINA PUNCO,SI,SI,OK,
2186043,"MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS  DE LA COMUNIDAD CAMPESINA DE CASA BLANCA, DISTRITO DE ASILLO, AZÁNGARO - PUNO.",CASA BLANCA,"CASA BLANCA, ASILLO, AZANGARO, Puno, Peru","Casa Blanca, Asillo, Azángaro, Puno, Perú",-14.6907744,-70.336621,AZANGARO,ASILLO,SI,NO,REVISAR,Provincia no coincide
2153138,"INSTALACION DEL SISTEMA DE AGUA POTABLE EN LA COMUNIDAD DE CUSQUI, DISTRITO DE CRUCERO - CARABAYA - PUNO",CUSQUI,"CUSQUI, CRUCERO, CARABAYA, Puno, Peru","Cusqui, Crucero, Carabaya, Puno, Perú",-14.2713588,-69.8542788,CARABAYA,CRUCERO,SI,SI,OK,
2238917,"MEJORAMIENTO Y AMPLIACION DE SISTEMA DE AGUA POTABLE, ALCANTARILLADO Y PTAR EN LA LOCALIDAD DE PILCUYO DEL DISTRITO DE PILCUYO - PROVINCIA DE EL COLLAO - DEPARTAMENTO DE PUNO",PILCUYO,"PILCUYO, PILCUYO, EL COLLAO, Puno, Peru","Pilcuyo, PU-127, Chipana, Pilcuyo, El Collao, Puno, Perú",-16.105,-69.5559,EL COLLAO,PILCUYO,SI,SI,OK,
2215975,"MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO DE LA LOCALIDAD DE TIRAPATA, DISTRITO DE TIRAPATA - AZANGARO - PUNO",TIRAPATA,"TIRAPATA, TIRAPATA, AZANGARO, Puno, Peru","Jatun Tirapata, Tirapata, Azángaro, Puno, Perú",-14.950191,-70.4048052,AZANGARO,TIRAPATA,SI,NO,REVISAR,Provincia no coincide
2168873,"CONSTRUCCION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BASICO DE LA LOCALIDAD DE AJJATIRA, DISTRITO DE PEDRO VILCA APAZA, PROVINCIA DE SAN ANTONIO DE PUTINA, DEPARTAMENTO DE PUNO",AJJATIRA,"AJJATIRA, PEDRO VILCA APAZA, SAN ANTONIO DE PUTINA, Puno, Peru","Ajjatira, Pedro Vilca Apaza, San Antonio de Putina, Puno, Perú",-15.0309343,-69.9216539,SAN ANTONIO DE PUTINA,PEDRO VILCA APAZA,SI,SI,OK,
2248246,"MEJORAMIENTO, AMPLIACION DEL  SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN LA LOCALIDAD DE SINA, DISTRITO DE SINA - SAN ANTONIO DE PUTINA - PUNO",SINA,"SINA, SINA, SAN ANTONIO DE PUTINA, Puno, Peru","Río Sina, Sina, San Antonio de Putina, Puno, Perú",-14.4928587,-69.2800324,SAN ANTONIO DE PUTINA,SINA,SI,SI,REVISAR,Nombre muy genérico
2307913,"AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS DEL CENTRO POBLADO DE TUTURCUYO , DISTRITO DE SANTIAGO DE PUPUJA - AZANGARO - PUNO",TUTURCUYO,"TUTURCUYO, SANTIAGO DE PUPUJA, AZANGARO, Puno, Peru","Tuturcuyo, Santiago de Pupuja, Azángaro, Puno, Perú",-15.1414387,-70.217664,AZANGARO,SANTIAGO DE PUPUJA,SI,NO,REVISAR,Provincia no coincide
2189488,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS DE LA COMUNIDAD CAMPESINA DE POSOCONI, DISTRITO DE ASILL, PROVINCIA DE AZANGARO, DEPARTAMENTO PUNO",POSOCONI,"POSOCONI, ASILLO, AZANGARO, Puno, Peru","Posoconi, Asillo, Azángaro, Puno, Perú",-14.7854978,-70.4239483,AZANGARO,ASILLO,SI,NO,REVISAR,Provincia no coincide
2241826,"MEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE Y LETRINAS SANITARIAS EN LA PARCIALIDAD DE CAMBRIA, DISTRITO DE CONIMA - MOHO - PUNO",CAMBRIA,"CAMBRIA, CONIMA, MOHO, Puno, Peru","Cambria, Conima, Moho, Puno, Perú",-15.4490153,-69.4555221,MOHO,CONIMA,SI,SI,OK,
2336609,"MEJORAMIENTO DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LAS COMUNIDADES DE TORNO, QUILLO CHICO, QUEALLI Y TUNILA, DISTRITO DE HUATASANI - HUANCANE - PUNO",TORNO,"TORNO, HUATASANI, HUANCANE, Puno, Peru","Torno, Huatasani, Huancané, Puno, Perú",-15.018091,-69.8206473,HUANCANE,HUATASANI,SI,NO,REVISAR,Provincia no coincide
2198515,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y EQUIPO SANITARIO EN LA PARCIALIDAD DE TOQUEPANI, DISTRITO DE INCHUPALLA - HUANCANE - PUNO",TOQUEPANI,"TOQUEPANI, INCHUPALLA, HUANCANE, Puno, Peru","Institución educativa inicial Toquepani, PU-849, Inchupalla, Huancané, Puno, Perú",-15.0246,-69.7604,HUANCANE,INCHUPALLA,SI,NO,REVISAR,Provincia no coincide
2278724,CREACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LAS COMUNIDADES Y PARCIALIDADES DEL AREA RURAL DEL CENTRO POBLADO DE CALLACAMI DEL DISTRITO DE JULI - PROVINCIA DE CHUCUITO - DEPARTAMENTO DE PUNO,CALLACAMI,"CALLACAMI, JULI, CHUCUITO, Puno, Peru","Institución Educativa Callacami, PU-1264, Callacami, Conduriri, El Collao, Puno, Perú",-16.4908,-69.5249,CHUCUITO,JULI,NO,NO,REVISAR,Distrito no coincide | Provincia no coincide
2191201,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN EL SERTOR CENTRAL CHUA CHUA DEL CENTRO POBLADO CHUA CHUA, DISTRITO DE ZEPITA - CHUCUITO - PUNO",CHUA CHUA,"CHUA CHUA, ZEPITA, CHUCUITO, Puno, Peru","Chua Chua, Zepita, Chucuito, Puno, Perú",-16.4576242,-69.1399299,CHUCUITO,ZEPITA,SI,SI,OK,
2322657,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO SANITARIO  EN EL CENTRO POBLADO DE PICHACANI , DISTRITO DE PICHACANI - PUNO - PUNO",PICHACANI,"PICHACANI, PICHACANI, PUNO, Puno, Peru","Plaza Mayor de Pichacani, Pichacani, Puno, Perú",-16.1076165,-70.1314352,PUNO,PICHACANI,SI,SI,OK,
